"","Country","Neighbor","land_border_proportion","total_border_proportion"
"129","BRA","GUY",0.07613101106,0.05044630782
"130","TUR","IRN",0.188449848,0.05067018684
"131","ITA","FRA",0.2525,0.05119597146
"132","EGY","ISR",0.09963768116,0.05200391007
"133","IRN","AZE",0.07928994083,0.05482233503
"134","BRA","ARG",0.08336071859,0.05517987557
"135","DEU","CHE",0.09244444444,0.05557404326
"136","ZAF","SWZ",0.08937437934,0.05613577023
"137","ARG","BOL",0.08608058608,0.05677630681
"138","PRK","KOR",0.1423076923,0.05710172745
"139","KEN","SSD",0.06663581675,0.05781211064
"140","MLI","SEN",0.05776494112,0.05784895761
"141","LBY","NER",0.0814211695,0.05786204642
"142","BRA","PRY",0.08763281849,0.05815526102
"143","FRA","DEU",0.1559888579,0.05825368122
"144","COD","SSD",0.05847076462,0.0583263676
"145","ISR","SYR",0.07436708861,0.05891472868
"146","MOZ","ZMB",0.09154929577,0.05950859253
"147","CHN","MMR",0.0986775178,0.05962288864
"148","ZMB","TZA",0.05964214712,0.05964355038
"149","CMR","GAB",0.06484402383,0.05968355698
"150","SVK","AUT",0.06019007392,0.05971128609
"151","RUS","MNG",0.1740633542,0.06043003295
"152","SRB","MNE",0.06111111111,0.06117414899
"153","ISR","LBN",0.07753164557,0.06124031008
"154","DZA","MRT",0.07164179104,0.06199785753
"155","NER","LBY",0.06214689266,0.06213796735
"156","LBY","SDN",0.08808290155,0.06260215757
"157","THA","MYS",0.1039046989,0.06260826528
"158","UGA","RWA",0.06264916468,0.06263899185
"159","FRA","ITA",0.1688022284,0.06303280806
"160","RUS","CHN",0.182103232,0.06320443905
"161","IRN","TUR",0.09171597633,0.0633248731
"162","SDN","CAF",0.07137758744,0.06341079165
"163","SVK","UKR",0.06335797254,0.06364829396
"164","POL","RUS",0.07390300231,0.06381660471
"165","TZA","ZMB",0.08753647353,0.06395458846
"166","AUT","CHE",0.06407035176,0.06401249024
"167","COL","ECU",0.09916912356,0.06404689535
"168","ZAF","MOZ",0.100959947,0.06409921671
"169","ETH","DJI",0.06433101782,0.06418918919
"170","SAU","ARE",0.1031601889,0.06463017961
"171","MYS","THA",0.1606138107,0.06468933777
"172","IRQ","KWT",0.06607929515,0.06472491909
"173","EST","RUS",0.465648855,0.06641066185
"174","LTU","POL",0.07206068268,0.0667644901
"175","PAK","CHN",0.07721549062,0.0668797954
"176","CHL","BOL",0.1395409494,0.06830080914
"177","BGR","MKD",0.08192341941,0.06845513414
"178","IND","MMR",0.1029561672,0.06898014994
"179","HUN","SRB",0.06968124537,0.06955320129
"180","MOZ","ZAF",0.1073943662,0.06973441273
"181","MEX","GTM",0.2210720887,0.0703062194
"182","BRA","PER",0.1062547924,0.0703272924
"183","UKR","POL",0.1128753883,0.07065144392
"184","COD","UGA",0.0712143928,0.07105043188
"185","UKR","ROU",0.1139109424,0.07132303559
"186","DJI",NA,0.1158536585,0.07244655582
"187","ZWE","ZAF",0.07349081365,0.07338551859
"188","MLI","CIV",0.07353921351,0.07345022781
"189","SVN","HUN",0.07599517491,0.07388092134
"190","PAN","COL",0.4057971014,0.07389162562
"191","ZMB","MOZ",0.07384265834,0.07393682725
"192","TGO","BFA",0.07624633431,0.07398708162
